"drug_name","gene_names","drug_name_lower","alias_asgard"
"Biotin","PCCB;HLCS;MCCC2;ACACB;MCCC1;PC;PCCA;ACACA;CYP1B1;SLC5A6;SLC5A8","biotin","biotin"
"Calcitriol","VDR;HOXA10;CYP24A1;CYP3A4;GC","calcitriol","calcitriol"
"Calcifediol","VDR;CYP27B1;CYP24A1","calcifediol","calcifediol"
"Icosapent","PTGS2;PTGS1;PPARG;PPARD;FFAR1;SLC8A1;FABP7;FADS1;ACSL4;TRPV1;PPARA;ALOX5;ALB","icosapent","icosapent"
"Menadione","GGCX;VKORC1;VKORC1L1;F2;F9;PROC;PROS1;NQO2;NQO1;BGLAP;CYP1A2;CYP2A6;CYP1B1;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4;CYP3A5;CYP3A7;XDH;AOX1;MTHFR;CYP1A1","menadione","menadione"
"Pravastatin","HMGCR;HDAC2;SLCO1B1;SLCO2B1;ABCB1;SLCO1A2;SLC22A6;SLC22A8;ABCC2;SLC22A11;ABCG2;SLC22A7;SLC16A1;ABCB11;SLCO1B3","pravastatin","pravastatin"
"Betaxolol","ADRB1;ADRB2;CYP2D6;CYP1A2","betaxolol","betaxolol"
"Fluconazole","CYP3A5;CYP3A4;CYP2C9;CYP2C19;ABCB1","fluconazole","fluconazole"
"Troglitazone","PPARG;ESRRG;ESRRA;PPARD;PPARA;GSTP1;ACSL4;SERPINE1;SLC29A1;CYP19A1;CYP1A1;CYP2B6;CYP2C9;CYP3A5;CYP3A7;UGT1A3;UGT1A4;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT1A10;UGT2B7;UGT2B15;CYP3A4;CYP2C19;UGT1A1;CYP2C8;ABCB11;SLCO1B1","troglitazone","troglitazone"
"Erythromycin","MLNR;KCNH2;CYP3A5;CYP3A4;CYP3A7;SLCO1B3;ABCB11;ABCB1;SLCO1B1;ABCC2;SLCO1A2","erythromycin","erythromycin"
